year,index,player_url,TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO,GO/AO,TB,IBB,BABIP,AB/HR
2005,21,,Los Angeles Angels,AL,162,5624,761,1520,278,30,147,726,447,848,161,57,0.27,0.325,0.409,0.734,6186,29,43,39,125,1651,0.98,2299,51,0.294,38.26
2005,22,,Pittsburgh Pirates,NL,162,5573,680,1445,292,38,139,656,471,1092,73,30,0.259,0.322,0.4,0.722,6221,72,56,49,130,1682,1.15,2230,38,0.297,40.09
2005,23,,Toronto Blue Jays,AL,162,5581,775,1480,307,39,136,735,486,955,72,35,0.265,0.331,0.407,0.738,6233,89,21,56,126,1649,1.05,2273,18,0.296,41.04
2005,24,,Minnesota Twins,AL,162,5564,688,1441,269,32,134,644,485,978,102,44,0.259,0.323,0.391,0.714,6192,59,42,42,155,1831,1.31,2176,49,0.291,41.52
2005,25,,San Diego Padres,NL,162,5502,684,1416,269,39,130,655,600,977,99,44,0.257,0.333,0.391,0.724,6271,49,72,48,122,1585,0.96,2153,41,0.289,42.32
2005,25,,Seattle Mariners,AL,162,5507,699,1408,289,34,130,657,466,986,102,47,0.256,0.317,0.391,0.708,6095,48,37,37,115,1653,1.08,2155,50,0.289,42.36
2005,27,,Florida Marlins,NL,162,5502,717,1499,306,32,128,678,512,918,96,38,0.272,0.339,0.409,0.748,6214,67,82,50,144,1669,1.08,2253,61,0.304,42.98
2005,27,,San Francisco Giants,NL,162,5462,649,1427,299,26,128,617,431,901,71,35,0.261,0.319,0.396,0.715,6077,49,91,44,146,1704,1.09,2162,26,0.29,42.67
2005,29,,Kansas City Royals,AL,162,5503,701,1445,289,34,126,653,424,1008,53,33,0.263,0.32,0.396,0.716,6086,63,46,50,139,1566,0.99,2180,23,0.298,43.68
2005,30,,Washington Nationals,NL,162,5426,639,1367,311,32,117,615,491,1090,45,45,0.252,0.322,0.386,0.708,6142,89,91,45,130,1678,1.18,2093,55,0.293,46.38
2006,1,,Chicago White Sox,AL,162,5657,868,1586,291,20,236,839,502,1056,93,48,0.28,0.342,0.464,0.806,6318,58,44,57,118,1536,0.97,2625,33,0.305,23.97
2006,2,,Atlanta Braves,NL,162,5583,849,1510,312,26,222,818,526,1169,52,35,0.27,0.337,0.455,0.792,6284,52,78,44,131,1586,1.1,2540,48,0.304,25.15
2006,3,,Cincinnati Reds,NL,162,5515,749,1419,291,12,217,718,614,1192,124,33,0.257,0.336,0.432,0.768,6296,59,66,38,122,1546,1.06,2385,52,0.29,25.42
2006,4,,Philadelphia Phillies,NL,162,5687,865,1518,294,41,216,823,626,1203,92,25,0.267,0.347,0.447,0.794,6509,95,57,44,114,1573,1.05,2542,67,0.302,26.33
2006,5,,New York Yankees,AL,162,5651,930,1608,327,21,210,902,649,1053,139,35,0.285,0.363,0.461,0.824,6455,72,34,49,139,1637,1.14,2607,43,0.315,26.91
2006,6,,Detroit Tigers,AL,162,5642,822,1548,294,40,203,785,430,1133,60,40,0.274,0.329,0.449,0.778,6198,45,45,36,120,1494,0.97,2531,27,0.31,27.79
2006,7,,New York Mets,NL,162,5558,834,1469,323,41,200,800,547,1071,146,35,0.264,0.334,0.445,0.779,6291,62,77,47,114,1616,1.06,2474,63,0.293,27.79
2006,8,,Toronto Blue Jays,AL,162,5596,809,1591,348,27,199,778,514,906,65,33,0.284,0.348,0.463,0.811,6241,63,16,52,166,1560,0.97,2590,31,0.306,28.12
2006,9,,Cleveland Indians,AL,162,5619,870,1576,351,27,196,839,556,1204,55,23,0.28,0.349,0.457,0.806,6303,54,30,43,127,1437,0.97,2569,42,0.324,28.67
2006,10,,Boston Red Sox,AL,162,5619,820,1510,327,16,192,777,672,1056,51,23,0.269,0.351,0.435,0.786,6435,66,22,56,136,1445,0.86,2445,56,0.298,29.27
2006,11,,Tampa Bay Devil Rays,AL,162,5474,689,1395,267,33,190,650,441,1106,134,52,0.255,0.314,0.42,0.734,6041,47,35,43,101,1521,0.99,2298,23,0.285,28.81
2006,12,,St. Louis Cardinals,NL,161,5522,781,1484,292,27,184,745,531,922,59,32,0.269,0.337,0.431,0.768,6225,61,71,40,129,1683,1.09,2382,70,0.292,30.01
2006,13,,Texas Rangers,AL,162,5659,835,1571,357,23,183,799,505,1061,53,24,0.278,0.338,0.446,0.784,6273,40,18,50,148,1531,0.98,2523,35,0.311,30.92
2006,14,,Florida Marlins,NL,162,5502,758,1454,309,42,182,713,497,1249,110,58,0.264,0.331,0.435,0.766,6191,74,76,42,109,1484,1.04,2393,55,0.309,30.23
2006,15,,Milwaukee Brewers,NL,162,5433,730,1400,301,20,180,695,502,1233,71,37,0.258,0.327,0.42,0.747,6130,82,58,53,133,1458,1.0,2281,48,0.3,30.18
2006,16,,Oakland Athletics,AL,162,5500,771,1429,266,22,175,735,650,976,61,20,0.26,0.34,0.412,0.752,6281,50,25,56,170,1543,0.94,2264,28,0.285,31.43
2006,17,,Houston Astros,NL,162,5521,735,1407,275,27,174,708,585,1076,79,36,0.255,0.332,0.409,0.741,6326,73,100,46,122,1593,1.0,2258,54,0.286,31.73
2006,18,,Seattle Mariners,AL,162,5670,756,1540,266,42,172,703,404,974,106,37,0.272,0.325,0.424,0.749,6213,63,38,38,117,1624,1.01,2406,49,0.3,32.96
2006,19,,Chicago Cubs,NL,162,5587,716,1496,271,46,166,677,395,928,121,49,0.268,0.319,0.422,0.741,6147,43,84,37,135,1797,1.21,2357,24,0.294,33.66
2006,20,,Baltimore Orioles,AL,162,5610,768,1556,288,20,164,727,474,878,121,32,0.277,0.339,0.424,0.763,6240,73,40,41,145,1680,1.07,2376,35,0.302,34.21
2006,20,,Washington Nationals,NL,162,5495,746,1437,322,22,164,695,594,1156,123,62,0.262,0.338,0.418,0.756,6283,69,76,49,118,1577,1.09,2295,66,0.301,33.51
2006,22,,San Francisco Giants,NL,161,5472,746,1418,297,52,163,711,494,891,58,25,0.259,0.324,0.422,0.746,6136,53,80,37,136,1691,1.06,2308,76,0.282,33.57
